fecha,anio,dia,mes,semana_del_mes,quincena,dia_especial,prediccion
2021-10-23,2021,Saturday,10,4,0,0,11.264124158161179
2021-10-24,2021,Sunday,10,4,0,0,9.359519804457934
2021-10-25,2021,Monday,10,4,0,0,9.866771689064725
2021-10-26,2021,Tuesday,10,4,0,0,10.285826545858129
2021-10-27,2021,Wednesday,10,4,0,0,10.301772519073845
2021-10-28,2021,Thursday,10,4,0,0,10.209096110303301
2021-10-29,2021,Friday,10,5,0,0,10.610920324485754
2021-10-30,2021,Saturday,10,5,1,0,11.07643547290679
2021-10-31,2021,Sunday,10,5,1,0,9.20356662584898
2021-11-01,2021,Monday,11,1,0,1,9.23156058119874
2021-11-02,2021,Tuesday,11,1,0,0,9.72340855522111
2021-11-03,2021,Wednesday,11,1,0,0,9.73848261968212
2021-11-04,2021,Thursday,11,1,0,0,9.650873657787896
2021-11-05,2021,Friday,11,1,0,0,10.222126507742944
2021-11-06,2021,Saturday,11,1,0,0,10.6482139007721
2021-11-07,2021,Sunday,11,1,0,0,8.847751275377473
2021-11-08,2021,Monday,11,2,0,0,9.40642262486687
2021-11-09,2021,Tuesday,11,2,0,0,9.805925847422477
2021-11-10,2021,Wednesday,11,2,0,0,9.82112783728894
2021-11-11,2021,Thursday,11,2,0,0,9.732775385674312
2021-11-12,2021,Friday,11,2,0,0,10.30887614858837
2021-11-13,2021,Saturday,11,2,0,0,10.738579514114647
2021-11-14,2021,Sunday,11,2,0,0,8.922837339402141
2021-11-15,2021,Monday,11,3,1,1,9.551016528207608
2021-11-16,2021,Tuesday,11,3,0,0,10.03879425981965
2021-11-17,2021,Wednesday,11,3,0,0,10.054357262333005
2021-11-18,2021,Thursday,11,3,0,0,9.963906641156521
2021-11-19,2021,Friday,11,3,0,0,10.553688485503177
2021-11-20,2021,Saturday,11,3,0,0,10.993596327596862
2021-11-21,2021,Sunday,11,3,0,0,9.134734410381004
2021-11-22,2021,Monday,11,4,0,0,9.34198250569734
2021-11-23,2021,Tuesday,11,4,0,0,9.73874887107602
2021-11-24,2021,Wednesday,11,4,0,0,9.753846717414417
2021-11-25,2021,Thursday,11,4,0,0,9.666099537616509
2021-11-26,2021,Friday,11,4,0,0,10.238253635225767
2021-11-27,2021,Saturday,11,4,0,0,10.665013252933516
2021-11-28,2021,Sunday,11,4,0,0,8.861710094283328
2021-11-29,2021,Monday,11,5,0,0,9.167062441905484
2021-11-30,2021,Tuesday,11,5,1,0,9.576476780856684
2021-12-01,2021,Wednesday,12,1,0,0,10.790745401195323
2021-12-02,2021,Thursday,12,1,0,0,10.693670113434072
2021-12-03,2021,Friday,12,1,0,0,11.326647991436731
2021-12-04,2021,Saturday,12,1,0,0,11.798774990723478
2021-12-05,2021,Sunday,12,1,0,0,9.803768730124402
2021-12-06,2021,Monday,12,1,0,0,10.335097288480153
2021-12-07,2021,Tuesday,12,1,0,0,10.774042553522605
2021-12-08,2021,Wednesday,12,2,0,1,10.770657693679418
2021-12-09,2021,Thursday,12,2,0,0,10.784421488987602
2021-12-10,2021,Friday,12,2,0,0,11.422771106768499
2021-12-11,2021,Saturday,12,2,0,0,11.898904791708235
2021-12-12,2021,Sunday,12,2,0,0,9.886967995524385
2021-12-13,2021,Monday,12,2,0,0,10.422805651040436
2021-12-14,2021,Tuesday,12,2,0,0,10.865476006362726
2021-12-15,2021,Wednesday,12,3,1,0,11.164156566160328
2021-12-16,2021,Thursday,12,3,0,0,11.040526944998428
2021-12-17,2021,Friday,12,3,0,0,11.694035912784614
2021-12-18,2021,Saturday,12,3,0,0,12.181476688663635
2021-12-19,2021,Sunday,12,3,0,0,10.12176097441934
2021-12-20,2021,Monday,12,3,0,0,10.670323554239754
2021-12-21,2021,Tuesday,12,3,0,0,11.123506322613412
2021-12-22,2021,Wednesday,12,4,0,0,10.807769620822027
2021-12-23,2021,Thursday,12,4,0,0,10.710541180432507
2021-12-24,2021,Friday,12,4,0,0,11.34451768772474
2021-12-25,2021,Saturday,12,4,0,1,11.696131946248066
2021-12-26,2021,Sunday,12,4,0,0,9.819235827699751
2021-12-27,2021,Monday,12,4,0,0,10.351402646410564
2021-12-28,2021,Tuesday,12,4,0,0,10.791040421591877
2021-12-29,2021,Wednesday,12,5,0,0,10.60540403617563
2021-12-30,2021,Thursday,12,5,1,0,10.532076582183038
2021-12-31,2021,Friday,12,5,1,0,11.155489443739027
2022-01-01,2022,Saturday,1,1,0,1,10.261253534893878
2022-01-02,2022,Sunday,1,1,0,0,8.614614541798339
2022-01-03,2022,Monday,1,1,0,0,9.081495274227253
2022-01-04,2022,Tuesday,1,1,0,0,9.467198402012102
2022-01-05,2022,Wednesday,1,1,0,0,9.481875267451482
2022-01-06,2022,Thursday,1,1,0,0,9.39657478672638
2022-01-07,2022,Friday,1,1,0,0,9.952775221741044
2022-01-08,2022,Saturday,1,2,0,0,10.455619779682726
2022-01-09,2022,Sunday,1,2,0,0,8.687722100871953
2022-01-10,2022,Monday,1,2,0,1,9.064589452238756
2022-01-11,2022,Tuesday,1,2,0,0,9.547541377670331
2022-01-12,2022,Wednesday,1,2,0,0,9.562342797702598
2022-01-13,2022,Thursday,1,2,0,0,9.476318418084126
2022-01-14,2022,Friday,1,2,0,0,10.037239024380083
2022-01-15,2022,Saturday,1,3,1,0,10.726404825339994
2022-01-16,2022,Sunday,1,3,0,0,8.894035720254422
2022-01-17,2022,Monday,1,3,0,0,9.376060062861226
2022-01-18,2022,Tuesday,1,3,0,0,9.774273747209797
2022-01-19,2022,Wednesday,1,3,0,0,9.78942666726743
2022-01-20,2022,Thursday,1,3,0,0,9.70135940449637
2022-01-21,2022,Friday,1,3,0,0,10.275600598067964
2022-01-22,2022,Saturday,1,4,0,0,10.383991976907533
2022-01-23,2022,Sunday,1,4,0,0,8.628205548212291
2022-01-24,2022,Monday,1,4,0,0,9.095822863688328
2022-01-25,2022,Tuesday,1,4,0,0,9.482134503166668
2022-01-26,2022,Wednesday,1,4,0,0,9.496834523835032
2022-01-27,2022,Thursday,1,4,0,0,9.41139946722438
2022-01-28,2022,Friday,1,4,0,0,9.968477402171635
2022-01-29,2022,Saturday,1,5,0,0,10.189561240400899
2022-01-30,2022,Sunday,1,5,1,0,8.484437907452104
2022-01-31,2022,Monday,1,5,1,0,8.944263540422561
2022-02-01,2022,Tuesday,2,1,0,0,10.56299677350888
2022-02-02,2022,Wednesday,2,1,0,0,10.57937243985685
2022-02-03,2022,Thursday,2,1,0,0,10.484198697381304
2022-02-04,2022,Friday,2,1,0,0,11.104777579433197
2022-02-05,2022,Saturday,2,1,0,0,11.567656387028197
2022-02-06,2022,Sunday,2,1,0,0,9.611729019083274
2022-02-07,2022,Monday,2,1,0,0,10.132649724538433
2022-02-08,2022,Tuesday,2,2,0,0,10.652639195333652
2022-02-09,2022,Wednesday,2,2,0,0,10.669153833076003
2022-02-10,2022,Thursday,2,2,0,0,10.573172402692132
2022-02-11,2022,Friday,2,2,0,0,11.199017800971687
2022-02-12,2022,Saturday,2,2,0,0,11.66582480983513
2022-02-13,2022,Sunday,2,2,0,0,9.693298547662035
2022-02-14,2022,Monday,2,2,0,0,10.21864002447753
2022-02-15,2022,Tuesday,2,3,1,0,10.928526751658545
2022-02-16,2022,Wednesday,2,3,0,0,10.922521944704403
2022-02-17,2022,Thursday,2,3,0,0,10.824261173882833
2022-02-18,2022,Friday,2,3,0,0,11.46496897542457
2022-02-19,2022,Saturday,2,3,0,0,11.94286158790579
2022-02-20,2022,Sunday,2,3,0,0,9.923492318123714
2022-02-21,2022,Monday,2,3,0,0,10.46130945889751
2022-02-22,2022,Tuesday,2,4,0,0,10.57966168128888
2022-02-23,2022,Wednesday,2,4,0,0,10.596063183010598
2022-02-24,2022,Thursday,2,4,0,0,10.500739287914971
2022-02-25,2022,Friday,2,4,0,0,11.122297237750502
2022-02-26,2022,Saturday,2,4,0,0,11.585906314681685
2022-02-27,2022,Sunday,2,4,0,0,9.626893141646589
2022-02-28,2022,Monday,2,4,0,0,10.148635687314636
2022-03-01,2022,Tuesday,3,1,0,0,10.421590628139255
2022-03-02,2022,Wednesday,3,1,0,0,10.437747074515302
2022-03-03,2022,Thursday,3,1,0,0,10.34384741669134
2022-03-04,2022,Friday,3,1,0,0,10.956118649930083
2022-03-05,2022,Saturday,3,1,0,0,11.412800929270956
2022-03-06,2022,Sunday,3,1,0,0,9.483057432783582
2022-03-07,2022,Monday,3,1,0,0,9.99700460690279
2022-03-08,2022,Tuesday,3,2,0,0,10.510033012739399
2022-03-09,2022,Wednesday,3,2,0,0,10.526326570108878
2022-03-10,2022,Thursday,3,2,0,0,10.431630036841675
2022-03-11,2022,Friday,3,2,0,0,11.049097283800577
2022-03-12,2022,Saturday,3,2,0,0,11.509655177837017
2022-03-13,2022,Sunday,3,2,0,0,9.563534995430393
2022-03-14,2022,Monday,3,2,0,0,10.081843760333536
2022-03-15,2022,Tuesday,3,3,1,0,10.782227280433059
2022-03-16,2022,Wednesday,3,3,0,0,10.776302859435983
2022-03-17,2022,Thursday,3,3,0,0,10.679357499112102
2022-03-18,2022,Friday,3,3,0,0,11.311488187314993
2022-03-19,2022,Saturday,3,3,0,0,11.782983282720275
2022-03-20,2022,Sunday,3,3,0,0,9.790647176976822
2022-03-21,2022,Monday,3,3,0,1,10.215358652195835
2022-03-22,2022,Tuesday,3,4,0,0,10.43803244389124
