barrio,Con muertos,Atropello,Ciclo Ruta,Glorieta,Interseccion,Lote o Predio,Paso Elevado,Paso Inferior,Paso a Nivel,Pontón,Puente,Tramo de via,Tunel,Via peatonal,cluster
Aures No.1,0,81,0,0,73,113,0,0,0,0,0,393,0,0,0
Aures N°2,0,89,4,1,90,154,11,0,0,0,4,469,0,0,0
B. Cerro  El Volador,0,32,0,0,16,20,0,0,0,0,0,183,0,0,0
Barrio Caicedo,1,118,7,25,263,123,0,0,2,0,3,633,0,0,2
Barrio Colombia,1,57,1,24,224,90,0,1,1,0,0,939,0,0,2
Barrio Colón,5,385,13,76,948,217,76,5,3,1,10,3124,1,2,1
Barrio Cristóbal,0,11,2,0,56,11,0,0,0,0,0,98,0,0,4
Barrio de Jesús,2,69,2,0,28,60,1,0,0,0,1,320,0,0,0
Barrios de Jesús,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4
Batallón Girardot,0,6,1,0,0,4,0,0,0,0,0,7,0,0,4
Belalcázar,0,40,3,0,28,47,0,0,0,0,0,645,0,0,2
Belén,3,212,13,372,470,263,1,3,1,0,0,1854,0,0,3
Belencito,0,23,0,0,14,22,0,0,0,0,0,144,0,0,0
Bello Horizonte,0,58,0,0,97,34,0,0,0,0,0,234,0,0,0
Berlin,2,193,4,0,241,129,0,0,1,0,0,653,0,0,2
Bermejal-Los Alamos,1,58,0,0,25,44,0,0,0,0,1,185,0,0,0
Betania,0,25,0,1,11,26,0,0,0,0,1,92,0,0,4
Blanquizal,0,19,1,0,3,10,0,0,0,0,2,70,0,0,4
Bolivariana,1,51,4,9,247,105,0,0,0,0,0,485,0,0,0
Bombaná N°2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
Bomboná No. 1,2,90,4,0,476,71,1,0,0,0,0,878,0,0,2
Bomboná No. 2,1,48,0,0,48,67,0,0,0,0,0,316,0,0,0
Boqueron,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
Bosques de San Pablo,0,21,0,2,57,52,0,0,0,0,0,246,0,0,0
Boston,2,273,8,38,987,199,1,0,0,0,1,1513,0,3,5
Boyacá,0,67,2,3,164,120,0,1,0,0,0,448,0,0,0
Brasilia,0,90,5,2,183,75,0,0,0,0,0,373,0,0,0
Buenos Aires,0,95,3,1,446,106,0,0,0,0,0,634,0,0,2
Buga Patio Bonito,0,4,0,0,3,7,0,0,0,0,0,40,0,0,4
Cabecera San Antonio de Prado,9,470,18,12,375,264,6,21,2,0,6,3020,3,2,1
